from_str|to_char|rel_frequency
ur|u|0.0006128402318141915
ur|j|8.950908466002729e-05
ur|q|8.20329254149678e-05
ur|z|4.905589422443143e-05
ur|w|2.498880624376048e-05
 d|o|0.49187496163898475
 d|i|0.18997521050131008
 d|a|0.11211007615033348
 d|e|0.12096151313401357
 d|r|0.05603975412771779
 d|u|0.020138922376264957
 d| |0.0024922991395476156
 d|y|0.003327692621630839
 d|n|0.0009158276738794485
 d|v|0.00025121779446157143
 d|j|0.00022229437492209903
 d|w|0.0007150565793838799
 d|c|0.000236562617002608
 d|d|0.00018505184474585528
 d|s|8.193356638773623e-05
 d|m|0.00011579041200250328
 d|Î|9.634690923516564e-05
 d|h|0.00012715663874460364
 d|Ã|6.427963974575057e-05
 d|l|1.6396386662008608e-05
 d|g|1.4461709769736207e-05
 d|k|1.3832939779747677e-05
 d|b|1.557414898279284e-05
 d|p|7.78707449139642e-06
do| |0.32847272360374163
do|n|0.35341946274301916
do|w|0.08594385501562876
do|i|0.05497078145135296
do|e|0.06955943685762839
do|o|0.024169111403215038
do|c|0.02260759077256231
do|g|0.013066034864391578
do|u|0.012090727350306427
do|l|0.008754764208888615
do|m|0.009475350949400616
do|z|0.001780053100491366
do|r|0.00698452964041824
do|p|0.002328301226577775
do|y|0.0005476870671137808
do|t|0.0013472896129375711
do|s|0.0015085940675681451
do|d|0.0009521170765498576
do|v|0.000728441566128795
do|x|0.00039610763467542694
do|b|0.0002900674888487191
do|Ã|7.882878565424572e-05
do|j|9.042400442189278e-05
do|k|0.00016700855418562617
do|a|0.0001249291312385199
do|f|7.405978438690702e-05
do|h|7.172203866762333e-05
 n|o|0.6499162493592997
 n|e|0.19989327056712006
 n|i|0.0691784763155617
 n|a|0.0588450599467207
 n|u|0.018240830153994275
 n| |0.0015111216753571455
 n|g|0.0004031882164940549
 n|d|0.00030302510610716706
 n|k|0.00022474973736378301
 n|y|0.0005638095400791576
 n|c|0.000193586397889648
 n|s|0.00018858157891628587
 n|b|0.00014247051344170924
 n|Î|0.00012605470720908137
 n|t|9.342328750276015e-05
 n|f|3.650181304572129e-05
 n|Ã|3.276488154561088e-05
 n|h|4.010528270654204e-05
 n|v|1.4347147723638167e-05
 n|r|2.3088898197110726e-05
 n|p|1.0943870821751904e-05
 n|z|1.0877139902107075e-05
 n|n|7.473863000220812e-06
no| |0.24215877207185774
no|t|0.300000463809017
no|w|0.35464090417560334
no|u|0.025686020263192926
no|b|0.01038295326030395
no|n|0.00903735330914927
no|r|0.02402433792820389
no|o|0.005085215907597061
no|c|0.008154177870481125
no|s|0.0044795644016472555
no|i|0.0030414795479952687
no|p|0.0017201084260876373
no|l|0.0024815859167091766
no|y|0.0010413550810381652
no|v|0.0024517498441220965
no|a|0.0005148280088865808
no|m|0.0028090904629028586
no|e|0.0005055518285462821
no|d|0.00039956800689704776
no|z|0.00020601427382633647
no|x|0.000442210746371854
no|g|0.0004438029265795172
no|f|0.00015741816487939824
no|h|5.399567660770916e-05
no|j|1.6614054340833588e-05
no|k|5.4618703645490417e-05
no|Ã|1.0245333510180713e-05
wa|s|0.37087901469450996
wa|n|0.22435222230976978
wa|y|0.18551869759173226
wa|i|0.06452911960419583
wa|t|0.04326122318026631
wa|r|0.05481654044748549
wa|l|0.0351133717149338
wa|k|0.009164904592646675
wa|v|0.0032258349776652707
wa|d|0.0016359691032852425
wa|g|0.0023820664003741518
wa|m|0.0008909647706746899
wa|x|0.00059347971174751
wa| |0.0013445450291925845
wa|p|0.0004752408272707753
wa|h|0.0006162332449787474
wa|f|0.0003571013032011638
wa|b|0.00029768377974142646
wa|c|0.00027304239877484646
wa|u|7.938896529152195e-05
wa|w|0.00010860092498577408
wa|a|4.1433289770418836e-05
wa|j|1.7288710839455343e-05
wa|z|1.5202142289865904e-05
wa|e|1.0830284376440415e-05
as| |0.5168737962978681
as|e|0.10072015656472327
as|t|0.12600897251453896
as|k|0.049500989963508865
as|n|0.025897367992625254
as|y|0.013968991551250082
as|o|0.018147410672185706
as|s|0.07356839209362571
as|u|0.00859932674917374
as|h|0.02964173532410212
as|p|0.006892320238572806
as|l|0.002804493487068291
as|i|0.017629714860077448
as|a|0.003995827121965738
as|c|0.003414188928715327
as|m|0.001422915876365515
as|r|0.00011627486639604469
as|g|0.00019059579083224572
as|q|0.0003240216397904906
as|b|0.00012216776809690323
as|z|5.6466311820166934e-05
as|j|2.128480912847414e-05
as|w|5.7257895630730025e-05
as|Ã|1.4336462346864813e-05
as|d|1.0994219591153998e-05
ot| |0.6034050690339424
ot|h|0.24114449502148635
ot|t|0.04321750348489269
ot|a|0.013330582377432726
ot|e|0.03919587611688587
ot|s|0.014406931586051214
ot|i|0.024559583925462536
ot|o|0.012553533330981444
ot|b|0.002129350947542144
ot|l|0.001305709813990606
ot|c|0.0017742019922282752
ot|g|0.0005295864381439647
ot|y|0.0007380680287669625
ot|p|0.0004126433850910052
ot|u|0.00039783265541675183
ot|r|0.0003825076642954757
ot|j|7.06595228209174e-05
ot|w|0.00013761636322327144
ot|Ã|0.00010233802795751501
ot|d|5.492312254202313e-05
ot|m|6.459123774604967e-05
ot|n|8.639592309981167e-05
ar|e|0.31185586714016983
ar|s|0.047777688682020696
ar|o|0.030106442152474624
ar| |0.13203095053179717
ar|d|0.08459341936959253
ar|t|0.1125443075349527
ar|r|0.05548997159060965
ar|n|0.01731467819390833
ar|l|0.030429788592668476
ar|k|0.025247840009755763
ar|m|0.02459867883593147
ar|g|0.017963238972031833
